uid,ra_mean,dec_mean,Teff_mean,logg_mean,Fe_H_mean,para1_mean,para2_mean,para3_mean,ra,dec,cluster_name,Separation
G14881982519128,182.5743,18.466551,5179.0,2.680000066757202,-2.319999933242798,-0.16037008,1.901015,1.1670394,182.574271,18.466533,NGC_4147,0.11834211154510949
G14881983053267,182.6543467,18.5608948,5683.0,3.609999895095825,-1.5099999904632568,-0.18543467,1.8063209,1.1572107,182.654336,18.560874,NGC_4147,0.08330944254899571
G14881985033738,182.5314288,18.5181967,4610.0,1.2400000095367432,-1.7799999713897705,-0.20569251,1.7221421,1.1923869,182.531394,18.518178,NGC_4147,0.13654246780392362
G14881985072756,182.52059,18.534528,6501.0,4.139999866485596,-1.7599999904632568,-0.16658798,1.9320652,1.0689238,182.52056,18.534503,NGC_4147,0.13632831794545985
G14881991912450,182.479832,18.665093,6114.0,3.9800000190734863,-1.5700000524520874,-0.15284055,1.9378734,1.0875745,182.479702,18.66507,NGC_4147,0.4510507547068593
L14881984977447,182.531555,18.5434777,6517.0,4.070000171661377,-1.2599999904632568,-0.15474847,1.9465219,1.0366896,182.53154,18.543491,NGC_4147,0.07009687417241928
G15111867516062,198.3228778,18.4742647,6331.0,4.619999885559082,-2.259999990463257,-0.1510849,1.9756296,1.0878797,198.322868,18.474263,NGC_5024_M_53,0.03401693766465866
G15111878442508,198.234573,18.120621,6043.0,3.259999990463257,-1.909999966621399,-0.15637368,1.9425867,1.0939262,198.234754,18.120483,NGC_5024_M_53,0.7939283125440926
G15111879641473,198.229029,18.093071,4666.0,1.809999942779541,-1.8200000524520876,-0.18298075,1.7861043,1.1770767,198.229009,18.093073,NGC_5024_M_53,0.06881752168556374
G15111886089673,198.263728,18.25288,6425.0,4.670000076293945,-2.490000009536743,-0.15880823,1.9892755,1.0492638,198.263696,18.252866,NGC_5024_M_53,0.12045452421030609
G15111886211826,198.272131,18.2475078,4629.0,2.0199999809265137,-2.240000009536743,-0.18830504,1.8147937,1.1983908,198.272109,18.247497,NGC_5024_M_53,0.08467165635539342
G15111887596642,198.322328,18.246219,4698.0,1.9800000190734863,-1.7000000476837158,-0.19487739,1.7514601,1.1714602,198.32233,18.246215,NGC_5024_M_53,0.01594107919660717
G15111889293210,198.390554,18.156028,5493.0,2.75,-2.0299999713897705,-0.17615628,1.8750405,1.1375052,198.390525,18.156031,NGC_5024_M_53,0.09978823637766147
G15111890015488,198.268435,18.148787,4608.0,1.1699999570846558,-1.7799999713897705,-0.18728742,1.768792,1.1713982,198.268418,18.148792,NGC_5024_M_53,0.06087729342098128
G15111891827113,198.335541,18.11208,6316.0,4.409999847412109,-2.1600000858306885,-0.15278484,1.9751022,1.0836649,198.335576,18.111961,NGC_5024_M_53,0.44482383393609753
G15111893257224,198.3323413,18.3284838,4590.0,1.0499999523162842,-2.390000104904175,-0.18144996,1.8346906,1.2000105,198.332338,18.328491,NGC_5024_M_53,0.028267018150998288
G15111893801786,198.309803,18.367766,6730.0,3.940000057220459,-2.069999933242798,-0.15232992,1.9988893,1.0012366,198.309806,18.367776,NGC_5024_M_53,0.037430708334810374
G15111896515826,198.3632753,18.3214228,6194.0,4.150000095367432,-1.3799999952316284,-0.17191568,1.872697,1.1157209,198.363248,18.321427,NGC_5024_M_53,0.09451523344909803
G15111993790452,198.094952,18.071105,4704.0,2.039999961853028,-1.9900000095367432,-0.18682498,1.7878711,1.1827108,198.09496,18.071092,NGC_5024_M_53,0.05422056354545429
G15112061651232,198.1680946,18.1983116,6505.0,4.070000171661377,-2.259999990463257,-0.14104745,2.0304544,1.0223423,198.168095,18.198311,NGC_5024_M_53,0.0025567459928440227
G15112064483768,198.1507263,18.1255529,4584.0,1.2000000476837158,-1.7999999523162842,-0.20304962,1.7363207,1.1843777,198.15073,18.125543,NGC_5024_M_53,0.03782142863821806
G15112067262784,198.212219,18.269308,6012.0,3.920000076293945,-2.009999990463257,-0.16617693,1.9240472,1.1035782,198.212209,18.269289,NGC_5024_M_53,0.07646698292140906
G15112067546165,198.1684492,18.2856286,4666.0,1.600000023841858,-2.390000104904175,-0.17705637,1.8513184,1.1940684,198.168443,18.285627,NGC_5024_M_53,0.021961740667824588
G15112067853969,198.1859478,18.2702094,5089.0,2.470000028610229,-2.200000047683716,-0.18611607,1.8369064,1.1813581,198.185921,18.270223,NGC_5024_M_53,0.1038779523597418
G15112074496488,198.071514,18.23828,4852.0,2.0999999046325684,-1.7200000286102295,-0.18723194,1.7698534,1.1652565,198.071505,18.238287,NGC_5024_M_53,0.03977406239171917
G15112097909798,198.150688,18.459007,4757.0,1.9800000190734863,-1.7999999523162842,-0.19291094,1.7652637,1.1668656,198.150699,18.459,NGC_5024_M_53,0.045232607242389755
G15114228602775,198.2141826,17.9079422,6182.0,3.7799999713897705,-2.009999990463257,-0.1679737,1.9104745,1.1139129,198.214157,17.907932,NGC_5024_M_53,0.09507246776856777
L15111878114509,198.216402,18.180123,6066.0,4.510000228881836,-1.7000000476837158,-0.16972856,1.892543,1.1253334,198.216279,18.180163,NGC_5024_M_53,0.44465799143629653
L15111878224899,198.250334,18.156951,6504.0,4.230000019073486,-1.950000047683716,-0.1554936,1.969482,1.0565704,198.250318,18.156953,NGC_5024_M_53,0.055203441492091325
L15111878237091,198.2372,18.169849,4833.0,1.809999942779541,-1.909999966621399,-0.18634483,1.7861474,1.1764202,198.237186,18.169824,NGC_5024_M_53,0.10194681217284592
L15111878340137,198.232725,18.167738,5163.0,2.7100000381469727,-1.659999966621399,-0.1870001,1.8055032,1.1695629,198.232708,18.167726,NGC_5024_M_53,0.07243998544700468
L15111878772574,198.2557504,18.1252007,4915.0,2.220000028610229,-2.130000114440918,-0.1824755,1.8373725,1.1857759,198.255724,18.125204,NGC_5024_M_53,0.09110193609022572
L15111879277024,198.2940368,18.0681816,4824.0,2.0899999141693115,-1.7799999713897705,-0.19130698,1.7676404,1.1690563,198.294007,18.068198,NGC_5024_M_53,0.11784584932576728
L15112067036082,198.2024908,18.2376558,4400.0,1.2599999904632568,-2.009999990463257,-0.20520853,1.7280763,1.1944253,198.202503,18.237661,NGC_5024_M_53,0.04572171388500958
L15112076067488,198.162857,18.200471,5166.0,2.4200000762939453,-1.6100000143051147,-0.18145433,1.809188,1.150919,198.162858,18.200457,NGC_5024_M_53,0.05051589501818712
G15106479164186,199.11135,17.683776,4632.0,2.240000009536743,-2.450000047683716,-0.18217584,1.8389951,1.1965997,199.111341,17.68377,NGC_5053,0.0376756742515094
G15106479812204,199.072959,17.696478,5906.0,3.910000085830689,-2.1600000858306885,-0.15732904,1.9327346,1.1277008,199.072997,17.696459,NGC_5053,0.1471855859958675
G15106480912637,199.019114,17.783846,4683.0,1.6399999856948853,-2.069999933242798,-0.17932041,1.8125497,1.1634654,199.019096,17.783837,NGC_5053,0.06969282884420251
G15106481288391,199.0557568,17.7319855,4877.0,2.470000028610229,-1.8600000143051147,-0.19674426,1.7480376,1.1854503,199.055798,17.731993,NGC_5053,0.14383051309790593
G15106481548566,198.997229,17.740996,6171.0,0.6200000047683716,-2.680000066757202,-0.17898676,1.9362485,1.081253,198.997235,17.741016,NGC_5053,0.0748815022972541
G15106483607831,199.186512,17.793547,5295.0,2.869999885559082,-2.0299999713897705,-0.16585374,1.8784138,1.1611611,199.186587,17.793509,NGC_5053,0.2912156513198226
G15106487991673,199.1699186,17.7927344,4614.0,1.0700000524520874,-2.4200000762939453,-0.17091607,1.855124,1.1904337,199.169994,17.792712,NGC_5053,0.27074451439115876
G15106488711398,199.05096,17.773018,4556.0,1.4700000286102295,-2.6600000858306885,-0.18143432,1.83599,1.210262,199.051005,17.772996,NGC_5053,0.17341090164880035
G15106489221238,199.049683,17.80298,6410.0,3.049999952316284,-2.720000028610229,-0.14323345,2.0263634,1.0411147,199.049605,17.802987,NGC_5053,0.268538478250751
G15106489983399,199.1579176,17.759862,4648.0,1.440000057220459,-2.470000028610229,-0.17274496,1.8600694,1.1960577,199.157999,17.75984,NGC_5053,0.2900953787116178
G15106502569960,198.94406,17.555434,6013.0,3.849999904632568,-1.4900000095367432,-0.16549887,1.8928162,1.1148386,198.944011,17.555417,NGC_5053,0.17897315866332555
G15106530007624,199.2402176,17.6347362,4610.0,1.5,-2.430000066757202,-0.17927042,1.8365319,1.2091808,199.240208,17.634679,NGC_5053,0.20853733981764708
G15106532079822,199.27827,17.637665,6100.0,4.25,-1.6399999856948853,-0.1650669,1.915485,1.1061406,199.278203,17.637612,NGC_5053,0.2987323362914538
G15106536830608,199.18185,17.625061,5088.0,2.2100000381469727,-2.3399999141693115,-0.18234466,1.8436965,1.1722602,199.181879,17.625008,NGC_5053,0.2151853883768166
L15106479972723,199.0928371,17.6981636,5097.0,2.109999895095825,-1.9299999475479128,-0.1803791,1.8227152,1.1634095,199.092895,17.698156,NGC_5053,0.20045078843400288
L15106485902080,199.235666,17.758248,4906.0,0.9300000071525574,-2.3399999141693115,-0.17233934,1.8584358,1.1737401,199.235676,17.758119,NGC_5053,0.46566382653063093
L15106486952854,199.110176,17.722506,5565.0,3.309999942779541,-2.3399999141693115,-0.15248846,1.9401025,1.1432499,199.110198,17.722374,NGC_5053,0.48115115890512966
G15139515497067,206.0341442,28.3481923,6076.0,3.670000076293945,-1.590000033378601,-0.15113297,1.9423883,1.0891317,206.034158,28.348131,NGC_5272_M_3,0.22496955807359786
G15139522806638,206.1077574,28.3938002,5173.0,2.690000057220459,-2.009999990463257,-0.1896984,1.8028777,1.1894921,206.107734,28.393786,NGC_5272_M_3,0.09002746316201918
G15139528220238,205.516203,28.211248,5998.0,3.5899999141693115,-2.009999990463257,-0.15768549,1.9571335,1.0951118,205.516211,28.211262,NGC_5272_M_3,0.056429130915910924
G15139537513104,205.720511,28.1624099,4858.0,2.0199999809265137,-1.840000033378601,-0.19068679,1.7707953,1.1817719,205.720506,28.162393,NGC_5272_M_3,0.06287552818271579
G15139542448683,205.8680085,28.2995492,5354.0,3.200000047683716,-1.7400000095367432,-0.18062922,1.8264083,1.1625389,205.868008,28.299541,NGC_5272_M_3,0.029562513423118775
G15139646708799,205.488752,28.729717,6188.0,4.269999980926514,-1.8200000524520876,-0.1519571,1.9575084,1.094344,205.488717,28.729666,NGC_5272_M_3,0.21428203191075706
G15139715299707,205.720465,28.46598,5733.0,3.359999895095825,-1.6799999475479126,-0.1829464,1.8615781,1.1107028,205.720474,28.465964,NGC_5272_M_3,0.06425755059439135
G15139719154612,205.521456,28.5749087,6291.0,3.7799999713897705,-2.240000009536743,-0.16004857,1.9536884,1.0850806,205.521476,28.574904,NGC_5272_M_3,0.0654545795412952
G15139720682285,205.608557,28.584323,5903.0,3.3399999141693115,-1.7000000476837158,-0.16440193,1.9068078,1.1040894,205.608559,28.584336,NGC_5272_M_3,0.04722513094775586
G15139720959681,205.550879,28.551006,5960.0,2.109999895095825,-1.7400000095367432,-0.161029,1.9167055,1.1000115,205.550901,28.551003,NGC_5272_M_3,0.07040196418221406
G15139721984512,205.687958,28.563193,6173.0,4.0,-1.8600000143051147,-0.16052711,1.9495579,1.0857545,205.68796,28.563205,NGC_5272_M_3,0.04366038310161913
G15139753075426,205.6557621,28.6565036,5082.0,2.1700000762939453,-1.840000033378601,-0.20330212,1.7493745,1.1895502,205.655752,28.656528,NGC_5272_M_3,0.09345520920302804
G15139755799433,205.75154,28.701562,5052.0,2.430000066757202,-1.7599999904632568,-0.18845914,1.79324,1.172878,205.751517,28.701565,NGC_5272_M_3,0.07342523770782465
L15139534280683,205.6095,28.313327,4813.0,1.7899999618530271,-1.8899999856948853,-0.18324298,1.7984941,1.1654785,205.609485,28.313314,NGC_5272_M_3,0.06671038044618455
L15139712755313,205.490031,28.376418,4698.0,1.6799999475479126,-1.6399999856948853,-0.18888399,1.7597275,1.1701138,205.490033,28.376396,NGC_5272_M_3,0.07945294643909176
L15139724816763,205.547827,28.4081557,5842.0,3.849999904632568,-1.7200000286102295,-0.17322443,1.8721907,1.1412406,205.547867,28.408135,NGC_5272_M_3,0.14695543188460777
L15139724828411,205.5463786,28.3927613,5960.0,3.680000066757202,-1.340000033378601,-0.17206997,1.8625237,1.1072508,205.546384,28.392729,NGC_5272_M_3,0.11753085140650323
L15139724947738,205.577397,28.375152,5705.0,4.239999771118164,-1.5700000524520874,-0.18551718,1.8241014,1.1504445,205.577375,28.375228,NGC_5272_M_3,0.2823347049758806
G15361640789646,211.520217,28.404462,4936.0,2.140000104904175,-2.220000028610229,-0.17537764,1.8550482,1.1921415,211.520153,28.404419,NGC_5466,0.25501988983307894
G15361641172046,211.472294,28.4625615,5942.0,3.559999942779541,-2.549999952316284,-0.14824596,1.9713973,1.109285,211.472246,28.462515,NGC_5466,0.22605411709515427
G15361643472728,211.335236,28.777741,5892.0,4.070000171661377,-1.4900000095367432,-0.18891989,1.8283587,1.120899,211.335153,28.777691,NGC_5466,0.3177888060568287
G15361643944516,211.3265164,28.6035542,4550.0,0.9800000190734864,-1.8600000143051147,-0.19368158,1.7701447,1.1840456,211.326476,28.603547,NGC_5466,0.13029375385774455
G15361648109630,211.301086,28.46806,5933.0,3.2699999809265137,-2.0299999713897705,-0.15753645,1.9325321,1.1063857,211.301264,28.468032,NGC_5466,0.5722639732950011
